id_cliente,nombre,edad,genero,ciudad,distrito,fecha_registro,canal_preferido,segmento
C03710,Eli Peralta Carreño,38.0,M,Lima,Miraflores,2020-01-01,Web,Masivo
C11257,Eliana Ramírez Carmona,36.0,M,Lima,Los Olivos,2020-01-01,Web,Preferente
C06256,Lucas Sandoval Peláez,25.0,M,Arequipa,,2020-01-02,Web,Masivo
C10738,Régulo Garcia Fábregas,44.0,F,Arequipa,Socabaya,2020-01-02,Tienda,Masivo
C11997,León Arteaga Jover,57.0,F,Lima,Miraflores,2020-01-02,Tienda,Masivo
C10722,Aura Tovar Villaverde,57.0,M,Lima,Surco,2020-01-02,Tienda,Masivo
C02551,Eligio Iñiguez Tolosa,57.0,M,Arequipa,Cercado,2020-01-02,Tienda,Preferente
C08269,Bernarda de Jordán,45.0,M,Piura,Veintiseis de Octubre,2020-01-02,Tienda,Premium
C06480,Purificación Navas,43.0,M,Piura,Piura,2020-01-02,Tienda,Masivo
C09393,Amador Lucas Torrijos,53.0,M,Piura,Castilla,2020-01-02,App,Masivo
C06084,Hilario Duque Bayo,21.0,M,Lima,Comas,2020-01-03,App,Premium
C14395,Valentín Miralles Sánchez,40.0,F,Trujillo,El Porvenir,2020-01-03,Web,Preferente
C09788,Lourdes Quevedo-Sarmiento,34.0,F,Piura,Catacaos,2020-01-03,Web,Masivo
C12185,Eric Cebrián Palau Iglesia,36.0,F,Trujillo,Trujillo,2020-01-03,Web,Preferente
C07028,Eli Agullo Salmerón,34.0,F,Lima,San Isidro,2020-01-03,Tienda,Masivo
C06177,Aura Emiliana Huertas Ocaña,21.0,M,Trujillo,,2020-01-03,Tienda,Masivo
C00276,Flor Palomares Valentín,42.0,F,Lima,Surco,2020-01-04,Web,Masivo
C07188,Régulo Verdú Crespo,37.0,F,Cusco,Wanchaq,2020-01-04,Tienda,Preferente
C05027,Ani Baños Mayol,52.0,M,Arequipa,Cercado,2020-01-04,Tienda,Preferente
C00176,Clarisa Giner Alarcón,22.0,M,Lima,Los Olivos,2020-01-04,App,Masivo
C02670,Alejandro Barreda-Ferrando,36.0,F,Arequipa,Cayma,2020-01-04,Tienda,Masivo
C01998,Horacio Vila,44.0,M,Lima,Los Olivos,2020-01-05,Tienda,Preferente
C05699,Pía del Pujadas,46.0,M,Lima,Ate,2020-01-05,Tienda,Preferente
C07462,José Luis Montes Alfonso,44.0,M,Trujillo,Victor Larco,2020-01-05,Tienda,Masivo
C02555,Graciela Cerro Cañete,23.0,F,Piura,Catacaos,2020-01-05,Tienda,Masivo
C10638,Aurelia Ribes-Teruel,48.0,M,Lima,Comas,2020-01-05,Tienda,Masivo
C03424,Teodosio Elías Bru,24.0,M,Arequipa,Socabaya,2020-01-05,Tienda,Masivo
C06461,Amaro Giménez-Lamas,26.0,M,Cusco,San Sebastian,2020-01-05,Tienda,Masivo
C12166,Bibiana Cisneros-Méndez,50.0,M,Piura,Piura,2020-01-05,Web,Masivo
C11362,Tamara Macías Recio,32.0,F,Lima,Ate,2020-01-06,App,Masivo
C04369,Armando del Múñiz,25.0,M,Lima,Miraflores,2020-01-06,Web,Masivo
C05007,Perla Díaz Valls,60.0,M,Lima,Ate,2020-01-06,Tienda,Masivo
C14338,María Cristina de Abella,50.0,F,Lima,Comas,2020-01-06,Web,Masivo
C14685,Prudencia Parejo Sedano,32.0,F,Lima,Los Olivos,2020-01-06,Tienda,Masivo
C05404,Américo Vidal Acedo,27.0,F,Lima,San Isidro,2020-01-07,Tienda,Premium
C09575,Hilario Montserrat Poza,50.0,F,Trujillo,Trujillo,2020-01-07,Tienda,Preferente
C14690,Clemente Planas Torrent,36.0,M,Lima,Comas,2020-01-07,Tienda,Preferente
C13996,Natalia Gámez-Royo,64.0,M,Lima,Comas,2020-01-07,Web,Masivo
C07595,Sancho Ferrández Espinosa,38.0,M,Lima,Comas,2020-01-07,Tienda,Masivo
C12751,Amarilis Acuña Salas,18.0,M,Lima,San Isidro,2020-01-07,Tienda,Preferente
C11740,Marisa Corbacho Echeverría,30.0,M,Arequipa,Cercado,2020-01-07,Tienda,Masivo
C06116,Teodosio Querol,18.0,F,Trujillo,Trujillo,2020-01-07,App,Masivo
C02502,Arcelia Gaya-Figueroa,33.0,F,Lima,San Isidro,2020-01-08,Web,Masivo
C00950,Samanta Salas Román,53.0,M,Arequipa,Cayma,2020-01-08,Tienda,Preferente
C02236,Loreto Florinda Herranz Guitart,49.0,F,Lima,Surco,2020-01-08,Web,Masivo
C00653,Donato Gimenez Guerra,18.0,M,Arequipa,Cayma,2020-01-08,App,Masivo
C09137,Rosaura Sala Rivera,51.0,F,Lima,Miraflores,2020-01-08,Tienda,Masivo
C00048,Alba Aroca-Solís,18.0,F,Cusco,Wanchaq,2020-01-08,Tienda,Preferente
C00512,Edu Valera Nogueira,49.0,M,Lima,Miraflores,2020-01-08,Web,Masivo
C13880,Maribel Zamorano Piñol,28.0,No especificado,Lima,Ate,2020-01-09,App,Masivo
C14472,Rosendo Diéguez Figueroa,47.0,F,Lima,Miraflores,2020-01-09,Tienda,Masivo
C03604,Aarón Sancho Martí,38.0,M,Lima,Ate,2020-01-09,Web,Masivo
C11732,Griselda Silvia Doménech Mesa,24.0,M,Cusco,Wanchaq,2020-01-09,Tienda,Masivo
C05497,Custodia del Arnaiz,33.0,F,Lima,San Isidro,2020-01-09,Tienda,Masivo
C03786,Melisa de Mateo,22.0,M,Trujillo,El Porvenir,2020-01-09,Tienda,Masivo
C10512,Adelina Rosales Becerra,27.0,M,Arequipa,Cayma,2020-01-09,Tienda,Masivo
C05253,Serafina Olalla Guardiola Osuna,41.0,M,Arequipa,Cercado,2020-01-09,Web,Preferente
C06587,Francisco Javier Eutropio Vizcaíno Gutiérrez,37.0,M,Lima,Miraflores,2020-01-09,App,Premium
C02938,Anabel Villanueva Carrión,48.0,M,Cusco,Cusco,2020-01-10,App,Masivo
C03555,Espiridión Borja Verdugo,51.0,M,Trujillo,El Porvenir,2020-01-10,Tienda,Masivo
C08863,Javi Marco Torrens Anaya,18.0,F,Lima,Surco,2020-01-10,Tienda,Masivo
C12402,Celso Sandoval-Riba,31.0,No especificado,Lima,Miraflores,2020-01-10,,Masivo
C10806,Abraham Andres-Gomis,40.0,No especificado,Cusco,San Jeronimo,2020-01-10,Web,Masivo
C05186,Lorenzo Casanova Cañas,39.0,F,Lima,,2020-01-10,Web,Masivo
C08011,Luis Miguel Leandro Delgado Viana,37.0,F,Trujillo,El Porvenir,2020-01-11,Web,Preferente
C03693,Xiomara Guerra Vicente,,M,Trujillo,La Esperanza,2020-01-11,App,Masivo
C08144,Fabiana Mena Lobo,44.0,M,Lima,San Isidro,2020-01-11,Web,Masivo
C04194,Luciano del Caballero,22.0,M,Piura,Catacaos,2020-01-11,Web,Masivo
C06795,África Campos Nevado,38.0,F,Lima,Los Olivos,2020-01-11,Tienda,Masivo
C12488,Perla Tudela Reyes,34.0,F,Lima,San Isidro,2020-01-12,Tienda,Preferente
